time_s,h_plus,h_cross,amplitude,frequency_Hz
3.4400688014e-03,-2.7387660888e-22,-2.0902796222e-22,3.4453023943e-22,30.325143
3.4600692014e-03,-2.7308962531e-22,-2.1007904897e-22,3.4454484508e-22,30.327071
3.4800696014e-03,-2.7229855920e-22,-2.1112724096e-22,3.4455945382e-22,30.329000
3.5000700014e-03,-2.7150342091e-22,-2.1217252217e-22,3.4457406566e-22,30.330929
3.5200704014e-03,-2.7070422085e-22,-2.1321487662e-22,3.4458868060e-22,30.332859
3.5400708014e-03,-2.6990096952e-22,-2.1425428838e-22,3.4460329864e-22,30.334789
3.5600712014e-03,-2.6909367746e-22,-2.1529074153e-22,3.4461791978e-22,30.336720
3.5800716014e-03,-2.6828235528e-22,-2.1632422020e-22,3.4463254402e-22,30.338651
3.6000720014e-03,-2.6746701366e-22,-2.1735470857e-22,3.4464717137e-22,30.340582
3.6200724014e-03,-2.6664766334e-22,-2.1838219083e-22,3.4466180182e-22,30.342514
3.6400728015e-03,-2.6582431511e-22,-2.1940665122e-22,3.4467643538e-22,30.344447
3.6600732015e-03,-2.6499697984e-22,-2.2042807403e-22,3.4469107204e-22,30.346380
3.6800736015e-03,-2.6416566845e-22,-2.2144644357e-22,3.4470571181e-22,30.348313
3.7000740015e-03,-2.6333039193e-22,-2.2246174419e-22,3.4472035470e-22,30.350247
3.7200744015e-03,-2.6249116132e-22,-2.2347396029e-22,3.4473500069e-22,30.352181
3.7400748015e-03,-2.6164798774e-22,-2.2448307630e-22,3.4474964979e-22,30.354116
3.7600752015e-03,-2.6080088235e-22,-2.2548907669e-22,3.4476430201e-22,30.356051
3.7800756015e-03,-2.5994985640e-22,-2.2649194596e-22,3.4477895734e-22,30.357987
3.8000760015e-03,-2.5909492117e-22,-2.2749166867e-22,3.4479361579e-22,30.359923
3.8200764015e-03,-2.5823608802e-22,-2.2848822940e-22,3.4480827735e-22,30.361859
3.8400768015e-03,-2.5737336837e-22,-2.2948161278e-22,3.4482294203e-22,30.363796
3.8600772015e-03,-2.5650677370e-22,-2.3047180348e-22,3.4483760983e-22,30.365733
3.8800776016e-03,-2.5563631556e-22,-2.3145878620e-22,3.4485228075e-22,30.367671
3.9000780016e-03,-2.5476200553e-22,-2.3244254569e-22,3.4486695479e-22,30.369610
3.9200784016e-03,-2.5388385528e-22,-2.3342306675e-22,3.4488163196e-22,30.371548
