Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
1720000000.000,+6710050979.595212,-558153454.019212,-5414479375.688609,+2905048979.856126,-1292953643.782768,-2351306234.333254
1730000000.000,+6749062906.246213,-561398532.344483,-5445958906.023082,+2921938799.955003,-1300470817.073021,-2364976621.601321
1740000000.000,+6788074832.897214,-564643610.669755,-5477438436.357554,+2938828620.053880,-1307987990.363274,-2378647008.869387
1750000000.000,+6827086759.548215,-567888688.995027,-5508917966.692027,+2955718440.152757,-1315505163.653527,-2392317396.137454
1760000000.000,+6866098686.199216,-571133767.320298,-5540397497.026500,+2972608260.251634,-1323022336.943779,-2405987783.405520
1770000000.000,+6905110612.850217,-574378845.645570,-5571877027.360972,+2989498080.350511,-1330539510.234032,-2419658170.673586
1780000000.000,+6944122539.501218,-577623923.970841,-5603356557.695445,+3006387900.449388,-1338056683.524285,-2433328557.941653
1790000000.000,+6983134466.152219,-580869002.296113,-5634836088.029918,+3023277720.548265,-1345573856.814537,-2446998945.209719
1800000000.000,+7022146392.803220,-584114080.621385,-5666315618.364390,+3040167540.647141,-1353091030.104790,-2460669332.477786
1810000000.000,+7061158319.454221,-587359158.946656,-5697795148.698863,+3057057360.746018,-1360608203.395043,-2474339719.745852
1820000000.000,+7100170246.105222,-590604237.271928,-5729274679.033336,+3073947180.844895,-1368125376.685295,-2488010107.013918
1830000000.000,+7139182172.756223,-593849315.597199,-5760754209.367808,+3090837000.943772,-1375642549.975548,-2501680494.281985
1840000000.000,+7178194099.407224,-597094393.922471,-5792233739.702281,+3107726821.042649,-1383159723.265801,-2515350881.550051
1850000000.000,+7217206026.058225,-600339472.247743,-5823713270.036754,+3124616641.141526,-1390676896.556053,-2529021268.818118
1860000000.000,+7256217952.709226,-603584550.573014,-5855192800.371226,+3141506461.240403,-1398194069.846306,-2542691656.086184
1870000000.000,+7295229879.360227,-606829628.898286,-5886672330.705699,+3158396281.339280,-1405711243.136559,-2556362043.354250
1880000000.000,+7334241806.011228,-610074707.223557,-5918151861.040172,+3175286101.438157,-1413228416.426811,-2570032430.622317
1890000000.000,+7373253732.662229,-613319785.548829,-5949631391.374644,+3192175921.537034,-1420745589.717064,-2583702817.890383
1900000000.000,+7412265659.313230,-616564863.874101,-5981110921.709117,+3209065741.635911,-1428262763.007317,-2597373205.158450
1910000000.000,+7451277585.964231,-619809942.199372,-6012590452.043590,+3225955561.734788,-1435779936.297570,-2611043592.426516
1920000000.000,+7490289512.615232,-623055020.524644,-6044069982.378062,+3242845381.833665,-1443297109.587822,-2624713979.694582
1930000000.000,+7529301439.266232,-626300098.849916,-6075549512.712535,+3259735201.932542,-1450814282.878075,-2638384366.962649
1940000000.000,+7568313365.917233,-629545177.175187,-6107029043.047008,+3276625022.031419,-1458331456.168328,-2652054754.230715
1950000000.000,+7607325292.568234,-632790255.500459,-6138508573.381480,+3293514842.130296,-1465848629.458580,-2665725141.498782
1960000000.000,+7646337219.219235,-636035333.825730,-6169988103.715953,+3310404662.229173,-1473365802.748833,-2679395528.766848
1970000000.000,+7685349145.870236,-639280412.151002,-6201467634.050426,+3327294482.328050,-1480882976.039086,-2693065916.034914
1980000000.000,+7724361072.521237,-642525490.476274,-6232947164.384898,+3344184302.426927,-1488400149.329338,-2706736303.302981
1990000000.000,+7763372999.172238,-645770568.801545,-6264426694.719371,+3361074122.525804,-1495917322.619591,-2720406690.571047
2000000000.000,+7802384925.823239,-649015647.126817,-6295906225.053843,+3377963942.624681,-1503434495.909844,-2734077077.839114
2010000000.000,+7841396852.474240,-652260725.452088,-6327385755.388316,+3394853762.723557,-1510951669.200096,-2747747465.107180
2020000000.000,+7880408779.125241,-655505803.777360,-6358865285.722789,+3411743582.822434,-1518468842.490349,-2761417852.375247
2030000000.000,+7919420705.776242,-658750882.102632,-6390344816.057261,+3428633402.921311,-1525986015.780602,-2775088239.643313
2040000000.000,+7958432632.427243,-661995960.427903,-6421824346.391734,+3445523223.020188,-1533503189.070854,-2788758626.911379
2050000000.000,+7997444559.078244,-665241038.753175,-6453303876.726207,+3462413043.119065,-1541020362.361107,-2802429014.179446
2060000000.000,+8036456485.729245,-668486117.078446,-6484783407.060679,+3479302863.217942,-1548537535.651360,-2816099401.447512
2070000000.000,+8075468412.380246,-671731195.403718,-6516262937.395152,+3496192683.316819,-1556054708.941612,-2829769788.715579
2080000000.000,+8114480339.031247,-674976273.728990,-6547742467.729625,+3513082503.415696,-1563571882.231865,-2843440175.983645
2090000000.000,+8153492265.682248,-678221352.054261,-6579221998.064097,+3529972323.514573,-1571089055.522118,-2857110563.251711
2100000000.000,+8192504192.333249,-681466430.379533,-6610701528.398570,+3546862143.613450,-1578606228.812371,-2870780950.519778
2110000000.000,+8231516118.984250,-684711508.704804,-6642181058.733043,+3563751963.712327,-1586123402.102623,-2884451337.787844
2120000000.000,+8270528045.635251,-687956587.030076,-6673660589.067515,+3580641783.811204,-1593640575.392876,-2898121725.055911
2130000000.000,+8309539972.286252,-691201665.355348,-6705140119.401988,+3597531603.910081,-1601157748.683129,-2911792112.323977
2140000000.000,+8348551898.937253,-694446743.680619,-6736619649.736461,+3614421424.008958,-1608674921.973381,-2925462499.592043
2150000000.000,+8387563825.588254,-697691822.005891,-6768099180.070933,+3631311244.107835,-1616192095.263634,-2939132886.860110
2160000000.000,+8426575752.239255,-700936900.331162,-6799578710.405406,+3648201064.206712,-1623709268.553887,-2952803274.128176
2170000000.000,+8465587678.890256,-704181978.656434,-6831058240.739879,+3665090884.305589,-1631226441.844139,-2966473661.396243
2180000000.000,+8504599605.541257,-707427056.981706,-6862537771.074351,+3681980704.404466,-1638743615.134392,-2980144048.664309
2190000000.000,+8543611532.192258,-710672135.306977,-6894017301.408824,+3698870524.503343,-1646260788.424645,-2993814435.932375
2200000000.000,+8582623458.843259,-713917213.632249,-6925496831.743297,+3715760344.602220,-1653777961.714897,-3007484823.200442
2210000000.000,+8621635377.744776,-717162291.957520,-6956976362.077769,+3732650164.701097,-1661295135.005150,-3021155210.468508
2220000000.000,+8660647294.859034,-720407370.282792,-6988455892.412242,+3749539984.799973,-1668812308.295403,-3034825597.736575
2230000000.000,+8699659211.973291,-723652448.608064,-7019935422.746715,+3766429804.898850,-1676329481.585655,-3048495985.004641
2240000000.000,+8738671129.087549,-726897526.933335,-7051414953.081187,+3783319624.997727,-1683846654.875908,-3062166372.272707
2250000000.000,+8777683046.201807,-730142605.258607,-7082894483.415660,+3800209445.096604,-1691363828.166161,-3075836759.540774
2260000000.000,+8816694963.316065,-733387683.583879,-7114374013.750133,+3817099265.195481,-1698881001.456414,-3089507146.808840
2270000000.000,+8855706880.430323,-736632761.909150,-7145853544.084605,+3833989085.294358,-1706398174.746666,-3103177534.076907
2280000000.000,+8894718797.544580,-739877840.234422,-7177333074.419078,+3850878905.393235,-1713915348.036919,-3116847921.344973
2290000000.000,+8933730714.658838,-743122918.559693,-7208812604.753551,+3867768725.492112,-1721432521.327172,-3130518308.613039
2300000000.000,+8972742631.773096,-746367996.884965,-7240292135.088023,+3884658545.590989,-1728949694.617424,-3144188695.881106
2310000000.000,+9011754548.887354,-749613075.210237,-7271771665.422496,+3901548365.689866,-1736466867.907677,-3157859083.149172
2320000000.000,+9050766466.001612,-752858153.535508,-7303251195.756968,+3918438185.788743,-1743984041.197930,-3171529470.417239
2330000000.000,+9089778383.115870,-756103231.860780,-7334730726.091441,+3935328005.887620,-1751501214.488182,-3185199857.685305
2340000000.000,+9128790300.230127,-759348310.186051,-7366210256.425914,+3952217825.986497,-1759018387.778435,-3198870244.953372
2350000000.000,+9167802217.344385,-762593388.511323,-7397689786.760386,+3969107646.085374,-1766535561.068688,-3212540632.221438
