Time,Kinetic_Energy,Max_Velocity,Weighted_Energy,Quartic_Dissipation,VSS_Energy,Step
0.015399999999999999,3368337280.8725896,39.406764867958074,4345745945.823307,1954816905.7881317,977408664.9507165,154000
0.0155,3368337504.8126044,39.399021385614176,4345321158.488703,1953966881.224567,976983653.6760982,155000
0.0156,3368337732.303767,39.39122907999045,4344894368.4344425,1953112844.1324403,976556636.1306742,156000
0.0157,3368337963.3614016,39.383388672332465,4344465588.7508335,1952254820.6617713,976127625.3894316,157000
0.015799999999999998,3368338198.0009108,39.37550088529641,4344034832.573517,1951392837.0530782,975696634.5726075,158000
0.0159,3368338436.2377768,39.36756644287002,4343602113.082867,1950526919.6361828,975263676.8450897,159000
0.016,3368338678.0875697,39.359586070290014,4343167443.503393,1949657094.8290167,974828765.415823,160000
0.0161,3368338923.565927,39.35156049396131,4342730837.103126,1948783389.1364071,974391913.5371988,161000
0.0162,3368339172.688584,39.343490441376595,4342292307.193061,1947905829.148914,973953134.5044762,162000
0.0163,3368339425.4713297,39.33537664103605,4341851867.126485,1947024441.541579,973512441.6551547,163000
0.016399999999999998,3368339681.930029,39.32721982236831,4341409530.298421,1946139253.0727592,973069848.3683922,164000
0.0165,3368339942.0806513,39.31902071565073,4340965310.145074,1945250290.5829618,972625368.0644224,165000
0.0166,3368340205.939221,39.310780051932824,4340519220.14315,1944357580.9935958,972179014.2039294,166000
0.0167,3368340473.5218496,39.30249856295615,4340071273.809317,1943461151.3058093,971730800.287467,167000
0.0168,3368340744.8447046,39.294176981078095,4339621484.699551,1942561028.5992625,971280739.8548468,168000
0.0169,3368341019.924046,39.285816039195375,4339169866.408608,1941657240.0309815,970828846.4845622,169000
0.016999999999999998,3368341298.7762103,39.2774164706667,4338716432.56939,1940749812.8341377,970375133.7931795,170000
0.0171,3368341581.4176083,39.2689790092384,4338261196.852355,1939838774.3168647,969919615.4347473,171000
0.0172,3368341867.864693,39.26050438896868,4337804172.964872,1938924151.8610268,969462305.1001797,172000
0.0173,3368342158.1340537,39.25199334415333,4337345374.650767,1938005972.9211366,969003216.5167147,173000
0.0174,3368342452.2423215,39.243446609253105,4336884815.68959,1937084265.0230622,968542363.4472691,174000
0.017499999999999998,3368342750.206196,39.23486491881795,4336422509.896053,1936159055.7628691,968079759.6898572,175000
0.017599999999999998,3368343052.0424547,39.22624900741663,4335958471.119463,1935230372.8056471,967615419.0770078,176000
0.0177,3368343357.76793,39.21775873238043,4335492713.243084,1934298243.8842971,967149355.4751543,177000
0.0178,3368343667.3995495,39.20958690389189,4335025250.1836195,1933362696.7984,966681582.7840704,178000
0.0179,3368343980.9543157,39.201377807015206,4334556095.890581,1932423759.4130056,966212114.936265,179000
0.018,3368344298.4492726,39.19313217457305,4334085264.345649,1931481459.657423,965740965.8963767,180000
0.018099999999999998,3368344619.9015694,39.184850739547755,4333612769.562187,1930535825.5241084,965268149.6606176,181000
0.0182,3368344945.3284063,39.17653423500951,4333138625.584562,1929586885.067429,964793680.2561566,182000
0.0183,3368345274.7470675,39.16818339404695,4332662846.487618,1928634666.4025297,964317571.7405504,183000
0.0184,3368345608.1748977,39.15979894969822,4332185446.37604,1927679197.7041278,963839838.2011434,184000
0.0185,3368345945.629305,39.1513816348816,4331706439.383789,1926720507.2053504,963360493.7544847,185000
0.0186,3368346287.1277947,39.14293218232763,4331225839.673555,1925758623.1966004,962879552.5457612,186000
0.018699999999999998,3368346632.6879106,39.13445132451208,4330743661.436094,1924793574.024325,962397028.7481828,187000
0.0188,3368346982.327287,39.12593979358822,4330259918.889714,1923825388.0899057,961912936.5624266,188000
0.0189,3368347336.063617,39.117398321321915,4329774626.279658,1922854093.848466,961427290.2160413,189000
0.019,3368347693.914652,39.10882763902566,4329287797.877514,1921879719.8077028,960940103.9628623,190000
0.0191,3368348055.898234,39.10022847749295,4328799447.980688,1920902294.526769,960451392.0824533,191000
0.0192,3368348422.032237,39.0916015669345,4328309590.91173,1919921846.6150467,959961168.8794924,192000
0.019299999999999998,3368348792.334651,39.08294763691459,4327818241.017896,1918938404.7310898,959469448.6832454,193000
0.0194,3368349166.8235016,39.07426741628808,4327325412.670444,1917951997.5813828,958976245.8469421,194000
0.0195,3368349545.5168858,39.06556163313685,4326831120.264106,1916962653.9192252,958481574.7472202,195000
0.0196,3368349928.4329557,39.056831014710205,4326335378.216504,1915970402.5435736,957985449.7835474,196000
0.0197,3368350315.5899506,39.04807628736148,4325838200.967611,1914975272.2979233,957487885.3776605,197000
0.019799999999999998,3368350707.006177,39.039298176489126,4325339602.979165,1913977292.0691547,956988895.9729886,198000
0.019899999999999998,3368351102.69998,39.030497406475526,4324839598.734043,1912976490.78635,956488496.0340624,199000
